request_id,sample_id,true_label,file,word_count,version,prediction_short,headline,fraction_ai,fraction_ai_assisted,fraction_human,num_ai_segments,num_ai_assisted_segments,num_human_segments,num_windows,mean_window_ai_assistance_score,max_window_ai_assistance_score
ai-26575,26575,ai,ai/1220.txt,864,3.3.2,AI,AI Generated,1.0,0.0,0.0,3,0,0,3,0.9931190212567648,0.9933497905731201
ai-28320,28320,ai,ai/2965.txt,1110,3.3.2,AI,AI Generated,1.0,0.0,0.0,3,0,0,3,0.9932006994883219,0.993238091468811
ai-28413,28413,ai,ai/3058.txt,911,3.3.2,AI,AI Generated,1.0,0.0,0.0,3,0,0,3,0.9935735464096069,0.9936274290084839
ai-28621,28621,ai,ai/3266.txt,576,3.3.2,AI,AI Generated,1.0,0.0,0.0,2,0,0,2,0.9933563470840454,0.9934143424034119
ai-28752,28752,ai,ai/3397.txt,116,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9928573966026306,0.9928573966026306
ai-29856,29856,ai,ai/4501.txt,1043,3.3.2,AI,AI Generated,1.0,0.0,0.0,3,0,0,3,0.9934366146723429,0.9935788512229919
ai-30553,30553,ai,ai/5198.txt,51,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.799309492111206,0.799309492111206
ai-30613,30613,ai,ai/5258.txt,465,3.3.2,AI,AI Generated,1.0,0.0,0.0,2,0,0,2,0.9927487671375275,0.9932528734207153
ai-30908,30908,ai,ai/5553.txt,51,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9884844422340393,0.9884844422340393
ai-32105,32105,ai,ai/6750.txt,105,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9937684535980225,0.9937684535980225
ai-32225,32225,ai,ai/6870.txt,53,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9935863614082336,0.9935863614082336
ai-32533,32533,ai,ai/7178.txt,286,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9935013055801392,0.9935013055801392
ai-32915,32915,ai,ai/7560.txt,1199,3.3.2,AI,AI Generated,1.0,0.0,0.0,4,0,0,4,0.9918776601552963,0.9923771023750305
ai-33105,33105,ai,ai/7750.txt,495,3.3.2,AI,AI Generated,1.0,0.0,0.0,2,0,0,2,0.9926798045635223,0.9928309321403503
ai-34933,34933,ai,ai/17534.txt,53,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9931265115737915,0.9931265115737915
ai-35084,35084,ai,ai/18131.txt,1188,3.3.2,AI,AI Generated,1.0,0.0,0.0,4,0,0,4,0.9930801093578339,0.9931254982948303
ai-35634,35634,ai,ai/19234.txt,294,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9929364919662476,0.9929364919662476
ai-35818,35818,ai,ai/19543.txt,112,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9910904169082642,0.9910904169082642
ai-35926,35926,ai,ai/19735.txt,594,3.3.2,AI,AI Generated,1.0,0.0,0.0,2,0,0,2,0.9930015802383423,0.9930379390716553
ai-36396,36396,ai,ai/20571.txt,279,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9928532242774963,0.9928532242774963
ai-36533,36533,ai,ai/20764.txt,569,3.3.2,AI,AI Generated,1.0,0.0,0.0,2,0,0,2,0.9936687350273132,0.9936694502830505
ai-37062,37062,ai,ai/21293.txt,297,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.992901086807251,0.992901086807251
ai-37588,37588,ai,ai/21819.txt,581,3.3.2,AI,AI Generated,1.0,0.0,0.0,2,0,0,2,0.9931761920452118,0.9933727979660034
ai-37738,37738,ai,ai/21977.txt,280,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9933786392211914,0.9933786392211914
ai-37747,37747,ai,ai/21986.txt,52,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9940798878669739,0.9940798878669739
ai-38067,38067,ai,ai/22306.txt,243,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.993556022644043,0.993556022644043
ai-39298,39298,ai,ai/23537.txt,54,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9914223551750183,0.9914223551750183
ai-39840,39840,ai,ai/24079.txt,294,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9929594993591309,0.9929594993591309
ai-40507,40507,ai,ai/24746.txt,551,3.3.2,AI,AI Generated,1.0,0.0,0.0,2,0,0,2,0.9932342171669006,0.9933493137359619
ai-40834,40834,ai,ai/25073.txt,910,3.3.2,AI,AI Generated,1.0,0.0,0.0,3,0,0,3,0.992926279703776,0.9931004643440247
ai-40867,40867,ai,ai/25106.txt,1041,3.3.2,AI,AI Generated,1.0,0.0,0.0,3,0,0,3,0.993300179640452,0.9935333132743835
ai-40897,40897,ai,ai/25136.txt,54,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.993782639503479,0.993782639503479
ai-41228,41228,ai,ai/25467.txt,455,3.3.2,AI,AI Generated,1.0,0.0,0.0,2,0,0,2,0.9935874938964844,0.9935967326164246
ai-41915,41915,ai,ai/26154.txt,557,3.3.2,AI,AI Generated,1.0,0.0,0.0,2,0,0,2,0.9932765364646912,0.9933154582977295
ai-42917,42917,ai,ai/27156.txt,109,3.3.2,Human,Human Written,0.0,0.0,1.0,0,0,1,1,0.24031569063663483,0.24031569063663483
ai-43357,43357,ai,ai/27596.txt,254,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.993602991104126,0.993602991104126
ai-43866,43866,ai,ai/28105.txt,54,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9939733147621155,0.9939733147621155
ai-44018,44018,ai,ai/28257.txt,564,3.3.2,AI,AI Generated,1.0,0.0,0.0,2,0,0,2,0.9926190674304962,0.9927564263343811
ai-44585,44585,ai,ai/28824.txt,58,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9942276477813721,0.9942276477813721
ai-45866,45866,ai,ai/30105.txt,501,3.3.2,AI,AI Generated,1.0,0.0,0.0,2,0,0,2,0.9934616386890411,0.9934703707695007
ai-45923,45923,ai,ai/30162.txt,107,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9946523904800415,0.9946523904800415
ai-47468,47468,ai,ai/31707.txt,52,3.3.2,AI,AI Generated,1.0,0.0,0.0,1,0,0,1,0.9940117001533508,0.9940117001533508
