model,length_bin,samples,human_samples,ai_samples,accuracy,mean_human_score,mean_ai_score,score_separation,false_positive_rate,false_negative_rate,brier_score
logreg,≤60,797,415,382,0.9435382685069009,7.505223383683303,91.77497910760715,84.26975572392385,0.043373493975903614,0.07068062827225131,0.04223389258887225
logreg,61–120,1121,625,496,0.9803746654772525,3.531808247128023,96.19263322194485,92.66082497481682,0.016,0.024193548387096774,0.016479956383750563
logreg,121–300,1190,645,545,0.9932773109243698,1.6571307043864347,98.68452235486875,97.02739165048231,0.006201550387596899,0.007339449541284404,0.005339264016261361
logreg,301–600,1057,479,578,0.9943235572374646,1.6086272817166098,99.640516349881,98.03188906816439,0.012526096033402923,0.0,0.0036827051675554943
logreg,601+,901,383,518,0.9977802441731409,0.7007414454992876,99.65265800958389,98.9519165640846,0.0,0.003861003861003861,0.0021223233060775463
distilbert,≤60,797,415,382,0.9924717691342535,1.279904732623705,99.71731547168724,98.43741073906354,0.012048192771084338,0.002617801047120419,0.006557538012998635
distilbert,61–120,1121,625,496,0.9973238180196253,0.2786612389353052,99.60599236205341,99.32733112311811,0.0016,0.004032258064516129,0.001810395670782463
distilbert,121–300,1190,645,545,0.9991596638655462,0.3684506223170586,99.98610822432632,99.61765760200926,0.0015503875968992248,0.0,0.0008395317479402771
distilbert,301–600,1057,479,578,0.9962157048249763,0.8109603548788911,99.71893193090663,98.90797157602775,0.0041753653444676405,0.0034602076124567475,0.0028199938855407902
distilbert,601+,901,383,518,0.9988901220865705,0.3292129129367678,99.79950717172107,99.4702942587843,0.0,0.0019305019305019305,0.0009026135425090028
distilbert-lora,≤60,797,415,382,0.9924717691342535,0.7682247113096989,98.19235835243894,97.42413364112925,0.0024096385542168677,0.013089005235602094,0.006925365383750716
distilbert-lora,61–120,1121,625,496,0.991971454058876,0.7823597592953551,98.72318886557497,97.94082910627961,0.0064,0.010080645161290322,0.006918544581041599
distilbert-lora,121–300,1190,645,545,0.9949579831932773,0.42960407841464554,99.37897599344953,98.94937191503489,0.0031007751937984496,0.007339449541284404,0.003020071783516328
distilbert-lora,301–600,1057,479,578,0.9924314096499527,0.5824628014935482,98.79100128080192,98.20853847930837,0.0041753653444676405,0.010380622837370242,0.005705871312337067
distilbert-lora,601+,901,383,518,0.9977802441731409,0.41453563563442775,99.44050240125435,99.02596676561993,0.0026109660574412533,0.0019305019305019305,0.001536545447305729
distilbert-mica,≤60,797,415,382,0.986198243412798,1.500449694760637,98.3360795631483,96.83562986838767,0.012048192771084338,0.015706806282722512,0.0098874163284988
distilbert-mica,61–120,1121,625,496,0.9946476360392507,1.1520662671131028,99.39848236859807,98.24641610148497,0.0064,0.004032258064516129,0.005274886430565978
distilbert-mica,121–300,1190,645,545,0.9966386554621849,0.9965170342985123,99.51168751771297,98.51517048341447,0.004651162790697674,0.001834862385321101,0.0031275484969553865
distilbert-mica,301–600,1057,479,578,0.9962157048249763,1.7849574380181439,99.78341224593687,97.99845480791873,0.006263048016701462,0.0017301038062283738,0.0046453902133132795
distilbert-mica,601+,901,383,518,0.9955604883462819,1.3513188663081057,99.88598527825478,98.53466641194667,0.010443864229765013,0.0,0.003464751080125354
modernbert,≤60,797,415,382,0.9899623588456713,0.9959953951548352,98.57904524079169,97.58304984563685,0.00963855421686747,0.010471204188481676,0.007174697502052648
modernbert,61–120,1121,625,496,0.991971454058876,1.140361862182614,99.36239796300089,98.22203610081827,0.0112,0.004032258064516129,0.006897500763644942
modernbert,121–300,1190,645,545,1.0,0.17477375592371858,99.97276376146789,99.79799000554416,0.0,0.0,0.00010957717619755133
modernbert,301–600,1057,479,578,0.9981078524124882,0.6253238510737055,99.97837370242215,99.35304985134844,0.0041753653444676405,0.0,0.0021034261479578
modernbert,601+,901,383,518,1.0,0.0684755589258541,99.9645571911197,99.89608163219384,0.0,0.0,2.915169776854472e-06
gpt2-variable,≤60,797,415,382,0.9661229611041405,9.767500176487198,99.75867146596859,89.99117128948139,0.06506024096385542,0.0,0.02895402417423547
gpt2-variable,61–120,1121,625,496,0.9527207850133809,10.56954345703125,99.91021925403226,89.34067579700101,0.0848,0.0,0.03620457709982931
gpt2-variable,121–300,1190,645,545,0.9546218487394958,12.6473573196766,99.85485951834863,87.20750219867203,0.08217054263565891,0.001834862385321101,0.03661549357959547
gpt2-variable,301–600,1057,479,578,0.97918637653737,8.34874609069187,100.0,91.65125390930812,0.04592901878914405,0.0,0.019082435038665004
gpt2-variable,601+,901,383,518,0.9844617092119867,7.4082655944027405,99.9992458976834,92.59098030328066,0.03655352480417755,0.0,0.015075084770906647
gpt2-fixed,≤60,797,415,382,0.9636135508155583,10.379447477409638,99.52552356020942,89.14607608279978,0.06987951807228916,0.0,0.02865522078132091
gpt2-fixed,61–120,1121,625,496,0.951828724353256,10.8825927734375,99.69915574596774,88.81656297253025,0.0864,0.0,0.03874196944364498
gpt2-fixed,121–300,1190,645,545,0.9327731092436975,16.193284618762114,99.66599770642202,83.47271308765991,0.12403100775193798,0.0,0.050288359165786445
gpt2-fixed,301–600,1057,479,578,0.9612109744560076,13.059886064310414,99.91552227508652,86.8556362107761,0.08559498956158663,0.0,0.029814843469904692
gpt2-fixed,601+,901,383,518,0.97669256381798,13.065459647315599,99.68252292471043,86.61706327739483,0.05483028720626632,0.0,0.023945370509178603
qwen3-variable,≤60,797,415,382,0.9974905897114178,0.3299736114869603,99.71821570271598,99.38824209122902,0.0024096385542168677,0.002617801047120419,0.002105852250145106
qwen3-variable,61–120,1121,625,496,0.9991079393398751,0.1053732299804652,99.75640081590221,99.65102758592174,0.0,0.0020161290322580645,0.0009190604710798867
qwen3-variable,121–300,1190,645,545,0.9991596638655462,0.23083102795504387,100.0,99.76916897204495,0.0015503875968992248,0.0,0.000789913214236908
qwen3-variable,301–600,1057,479,578,1.0,0.03336476383726447,100.0,99.96663523616273,0.0,0.0,2.6517716840784e-07
qwen3-variable,601+,901,383,518,0.9988901220865705,0.16506035707637656,100.0,99.83493964292363,0.0026109660574412533,0.0,0.00032723766572113097
qwen3-fixed,≤60,797,415,382,0.9937264742785445,0.8009117769907722,99.43051562883467,98.6296038518439,0.007228915662650603,0.005235602094240838,0.005916683899520414
qwen3-fixed,61–120,1121,625,496,0.9982158786797503,0.19476951599120743,99.70434865643901,99.5095791404478,0.0016,0.0020161290322580645,0.0016086566195285899
qwen3-fixed,121–300,1190,645,545,1.0,0.0333882117456203,100.0,99.96661178825438,0.0,0.0,1.1558327871949308e-07
qwen3-fixed,301–600,1057,479,578,0.9990539262062441,0.23296342264386086,100.0,99.76703657735614,0.0020876826722338203,0.0,0.0009388528359849293
qwen3-fixed,601+,901,383,518,1.0,0.016668322192157557,100.0,99.98333167780784,0.0,0.0,9.516974079096489e-08
